year,month,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
2007,5,15885.260753,600.2311828,1276.1706989,1108.0228495,949.49865591,5498.1061828,812.14784946,79.700268817,3085.7862903,595.54435484,1794.9462366
2007,6,17628.5375,622.79305556,1213.4916667,1214.2916667,1087.5194444,6255.6777778,921.38888889,89.016666667,3426.8583333,674.75972222,2041.7736111
2007,7,17259.15457,619.11827957,1180.0147849,1198.3817204,1074.5080645,6102.6370968,923.06048387,91.459677419,3344.2405914,657.34811828,1992.8776882
2007,8,18084.099462,617.69086022,1315.2137097,1251.1518817,1122.0013441,6393.1451613,965.875,94.301075269,3490.0793011,726.81451613,2036.5456989
2007,9,16550.304167,587.475,1318.9638889,1142.7361111,1038.1277778,5744.5013889,852.33611111,104.0875,3262.3722222,619.05833333,1849.0527778
2007,10,16005.517473,586.91397849,1372.983871,1094.2889785,1020.9126344,5529.4865591,840.5,62.239247312,3153.3575269,573.4811828,1694.3669355
2007,11,17153.376389,662.08194444,1460.8972222,1286.5555556,1114.4375,5859.1944444,990.67222222,73.945833333,3332.1194444,592.15416667,1725.9638889
2007,12,18021.18414,701.39112903,1556.3965054,1424.7728495,1226.7849462,5998.8803763,1108.5927419,71.537634409,3403.9663978,601.02284946,1812.2728495
2008,1,18292.991935,704.31048387,1554.9032258,1506.7284946,1130.2419355,6099.9395161,1104.4583333,65.834677419,3494.4932796,604.87365591,1842.1290323
2008,2,18529.918103,719.22557471,1577.6020115,1505.4683908,1148.1206897,6140.8951149,1137.2672414,75.318965517,3549.4094828,620.18103448,1886.137931
2008,3,17478.186828,679.80376344,1493.6169355,1375.4193548,1084.9475806,5847.686828,1046.7163978,80.700268817,3342.5793011,585.51478495,1771.0094086
2008,4,16000.55,659.00833333,1373.2111111,1283.2277778,877.21388889,5419.3416667,839.24166667,64.643055556,3127.8236111,526.94722222,1663.1694444
2008,5,15332.177419,603.15053763,1295.5013441,1159.7540323,859.10483871,5266.405914,808.77419355,53.633064516,2979.4637097,534.36962366,1613.811828
2008,6,16929.347222,614.04166667,1259.1486111,1202.7819444,1045.3555556,5958.3694444,858.60138889,61.586111111,3291.2208333,628.94444444,1891.2888889
2008,7,17682.33871,622.61021505,1249.0188172,1225.9879032,1075.5658602,6234.780914,935.37768817,64.724462366,3443.8360215,675.29032258,2048.3373656
2008,8,16866.297043,623.03897849,1235.483871,1176.3884409,1033.9784946,5866.7688172,870.72715054,59.120967742,3265.5362903,641.65322581,1909.5927419
2008,9,16379.808333,624.12916667,1282.9277778,1068.7097222,1012.0763889,5734.725,832.99583333,64.652777778,3200.7319444,597.1,1769.6875
2008,10,15637.280914,600.15188172,1267.6236559,1006.4260753,983.44623656,5457.7123656,896.23790323,58.720430108,2996.0241935,540.23387097,1713.4489247
2008,11,16429.152778,543.7375,1397.0652778,1259.825,1045.5125,5677.1625,972.25833333,78.790277778,3048.3972222,547.40138889,1763.65
2008,12,17591.004032,657.34274194,1522.6034946,1402.780914,1154.5887097,5936.3642473,1091.1102151,78.974462366,3134.9018817,571.74193548,1847.5
2009,1,18454.692204,704.36827957,1594.7620968,1561.1115591,1236.8561828,6177.8225806,1156.297043,81.970430108,3360.9919355,598.1438172,1844.5927419
2009,2,17407.699405,580.00297619,1514.7857143,1420.5386905,1126.3139881,5931.9479167,1057.2276786,69.129464286,3168.514881,586.18154762,1757.797619
2009,3,16353.337366,557.49596774,1412.4556452,1290.1962366,1027.7930108,5610.9408602,969.49327957,62.713709677,3013.4932796,522.8266129,1695.1518817
2009,4,14925.881944,493.62777778,1233.1194444,1261.7666667,849.73194444,5213.8902778,872.24861111,55.293055556,2680.8236111,496.01805556,1556.8930556
2009,5,14118.549731,470.63575269,1079.7446237,1078.3413978,854.29704301,5055.3010753,806.86962366,37.034946237,2533.686828,446.01209677,1563.1666667
2009,6,15117.115278,470.78194444,1028.9277778,1082.0263889,1000.0138889,5507.0986111,842.86111111,52.740277778,2774.6680556,526.35,1716.375
2009,7,15208.885753,430.33870968,1006.5524194,1273.9206989,857.0672043,5572.0604839,841.09677419,44.649193548,2769.6706989,526.75672043,1759.4462366
2009,8,16432.543011,463.18548387,1028.3293011,1370.3897849,889.15725806,6012.9112903,917.20430108,64.866935484,3039.7056452,582.00403226,1922.1733871
2009,9,15183.098611,400.99722222,1046.5027778,1360.3375,683.775,5530.1208333,846.08055556,62.836111111,2876.8263889,527.73472222,1755.7069444
2009,10,15029.401882,446.33467742,1087.8897849,1067.5833333,937.44086022,5467.7889785,895.25537634,71.665322581,2893.358871,508.91801075,1624.719086
2009,11,15434.595833,451.86527778,1156.8527778,1087.4888889,987.77638889,5594.5722222,913.09861111,55.45,3011.4833333,524.50416667,1654.8027778
2009,12,17023.385753,528.78091398,1304.4462366,1246.2137097,1156.9086022,6029.8924731,1093.7459677,62.560483871,3330.5147849,554.91666667,1699.7983871
2010,1,17668.600806,519.72580645,1384.4583333,1262.5403226,1181.5349462,6288.9852151,1161.983871,93.814516129,3425.6008065,593.65456989,1733.2956989
2010,2,17487.72619,541.04761905,1397.9270833,1222.6755952,1146.2217262,6209.8794643,1161.7901786,81.69047619,3332.5744048,585.88690476,1770.9107143
2010,3,15707.061828,492.76612903,1240.4139785,1088.0107527,978.58333333,5640.6922043,946.83198925,60.319892473,3075.5443548,530.58736559,1637.8965054
2010,4,14548.266667,456.9875,1188.8111111,995.03472222,876.68611111,5316.2569444,811.45833333,31.881944444,2876.5055556,469.29166667,1523.2583333
2010,5,15279.611559,448.14650538,1110.3978495,1047.563172,911.1061828,5657.8319892,878.96102151,35.11827957,2958.4865591,533.96908602,1647.8763441
2010,6,16049.945833,425.79444444,1067.6694444,1082.7041667,942.91666667,5960.9819444,859.95277778,32.266666667,3002.5444444,582.82638889,1905.1013889
2010,7,17886.077957,426.79569892,1115.0389785,1245.9287634,1040.8104839,6739.7217742,1002.3266129,42.036290323,3430.3548387,672.14112903,2033.6196237
2010,8,17367.696237,443.30510753,1136.5497312,1128.0887097,1005.7634409,6433.0295699,965.89784946,59.505376344,3506.922043,653.06586022,2022.1639785
2010,9,15345.945833,453.91944444,1165.5722222,1043.2152778,937.53055556,5534.3180556,842.9875,82.695833333,3056.0569444,552.73472222,1667.7791667
